bedrooms,built_surface,bathrooms,latitude,longitude,parking,price
2,50,1,-33.4366109,-70.6738659,1,79500000
2,55,1,-33.4549921,-70.6970987,0,79000000
2,58,1,-33.4444686,-70.6729014,1,78900000
1,30,1,-33.4181828,-70.6643755,1,78000000
2,42,1,-33.5243658,-70.6547903,0,78000000
2,43,2,-33.438912,-70.688643,0,78000000
2,43,2,-33.438912,-70.688643,0,78000000
2,43,3,-33.438912,-70.688643,0,78000000
2,39,1,-33.4233051,-70.6539539,0,78000000
1,36,1,-33.4538254,-70.6609476,0,78000000
1,29,1,-33.4444238,-70.6427232,0,78000000
2,47,2,-33.45139,-70.69491,1,77100000
2,43,2,-33.5112802,-70.6629225,0,76500000
2,41,1,-33.4299553,-70.6874614,1,76500000
2,42,1,-33.4572695,-70.6906844,1,76500000
2,42,1,-33.4572695,-70.6906844,1,76500000
2,42,2,-33.4504296,-70.6409653,0,76500000
3,52,1,-33.5159426,-70.6476574,0,75900000
1,37,1,-33.4544667,-70.6338393,0,75300000
2,84,1,-33.5211277,-70.6099197,1,75000000
2,42,1,-33.5243658,-70.6547903,0,75000000
1,31,1,-33.4493518,-70.6426383,1,75000000
1,36,1,-33.4536615,-70.66852223,0,75000000
2,40,1,-33.4629106,-70.6480244,1,75000000
1,31,1,-33.4624451,-70.6465442,0,75000000
1,31,1,-33.4624451,-70.6465442,0,75000000
2,54,1,-33.5704554,-70.5614301,1,75000000
2,49,1,-33.457304,-70.652488,1,75000000
1,34,1,-33.4554804,-70.7014619,1,75000000
1,34,1,-33.4554804,-70.7014619,1,75000000
1,33,1,-33.4442382,-70.6344593,0,74400000
3,47,1,-33.4181698,-70.665937,0,74400000
2,38,1,-33.4538095,-70.6566456,0,74100000
2,43,1,-33.4366689,-70.6726577,0,73500000
1,35,1,-33.4368148,-70.6548582,0,73500000
1,28,1,-33.466777,-70.6279532,1,73500000
2,42,1,-33.457304,-70.652488,1,73500000
2,40,1,-33.4629106,-70.6480244,1,72500000
3,50,1,-33.4550396,-70.7008305,0,72000000
3,50,1,-33.455086,-70.7008376,0,72000000
3,50,1,-33.4550396,-70.7008305,0,72000000
1,38,1,-33.4572695,-70.6906844,1,72000000
1,38,1,-33.4572695,-70.6906844,1,72000000
2,40,1,-33.4687965,-70.649134,1,72000000
2,43,1,-33.437657,-70.6913376,1,72000000
1,32,1,-33.4257509,-70.646263,0,72000000
2,41,1,-33.5329928,-70.6648041,1,72000000
2,47,1,-33.4301699,-70.6714263,0,72000000
2,40,2,-33.4708256,-70.6480873,1,72000000
3,47,1,-33.4310955,-70.6873647,0,71700000
2,46,1,-33.4547376,-70.633574,0,71000000
1,36,1,-33.525383,-70.5976971,1,71000000
2,38,1,-33.4687965,-70.649134,1,70500000
2,38,1,-33.4687965,-70.649134,1,70500000
2,38,1,-33.4687965,-70.649134,1,70500000
2,42,1,-33.4572695,-70.6906844,0,70500000
1,30,2,-33.4468873,-70.651265,0,70500000
3,48,1,-33.4311151,-70.6876205,0,70500000
2,42,1,-33.4657026,-70.6498025,0,70500000
1,29,1,-33.4550292,-70.7004986,0,70500000
2,40,1,-33.5106824,-70.6383862,0,70500000
2,40,1,-33.5106824,-70.6383862,0,70500000
2,42,1,-33.5106824,-70.6383862,0,70500000
2,52,1,-33.4344394,-70.6588858,0,70500000
2,39,1,-33.4502977,-70.6398318,0,70500000
2,57,1,-33.4584862,-70.6964519,0,70080000
7,110,3,-33.479933,-70.5334087,1,70000000
2,41,1,-33.4536398,-70.7016232,0,69500000
1,38,1,-33.4335239,-70.6413714,0,69000000
2,39,1,-33.423858,-70.6564961,1,69000000
1,36,1,-33.448034,-70.6538612,0,69000000
2,42,1,-33.5106824,-70.6383862,0,69000000
1,32,1,-33.4423717,-70.6592466,0,69000000
1,38,1,-33.45335336,-70.65710279,0,68700000
1,38,1,-33.436443,-70.6548927,0,68000000
1,36,1,-33.4544075,-70.7012211,1,67700000
2,53,1,-33.4178719,-70.6389671,0,67500000
2,51,1,-33.4515093,-70.6995238,0,67500000
2,39,1,-33.431234,-70.6927806,0,67500000
1,30,1,-33.4076971,-70.6630154,0,67500000
2,40,1,-33.448393,-70.6470794,0,67500000
1,34,1,-33.4261949,-70.6580949,0,67500000
1,34,1,-33.4261949,-70.6580949,0,67500000
2,42,1,-33.4358975,-70.6589958,0,67500000
1,31,1,-33.4388662,-70.6659404,0,67000000
3,50,1,-33.4669025,-70.6538017,0,66548000
3,50,1,-33.4757386,-70.6488292,0,66000000
1,31,1,-33.434009,-70.65565,0,66000000
3,47,1,-33.4797539,-70.641523,0,66000000
3,47,1,-33.4797539,-70.641523,0,66000000
3,47,1,-33.4797539,-70.641523,0,66000000
3,47,1,-33.4797539,-70.641523,0,66000000
1,29,1,-33.4457891,-70.6390512,0,66000000
1,37,1,-33.478858,-70.6472505,0,66000000
2,43,1,-33.4657457,-70.6498015,0,66000000
3,51,1,-33.5106127,-70.6382167,0,66000000
1,32,1,-33.4456381,-70.645078,0,66000000
2,48,1,-33.4337536,-70.6591585,0,66000000
1,33,1,-33.5209568,-70.5982196,0,66000000
3,49,1,-33.4432009,-70.6948519,0,65700000
3,50,1,-33.4797539,-70.641523,0,65100000
3,47,1,-33.4797539,-70.641523,0,65100000
1,30,1,-33.4562415,-70.674334,0,65000000
1,35,1,-33.448283,-70.6438465,0,65000000
3,55,1,-33.4264705,-70.6849224,0,65000000
1,34,1,-33.4376687,-70.6935041,0,64800000
2,45,1,-33.4322117,-70.6775275,0,64500000
2,47,1,-33.4310955,-70.6873647,0,64500000
1,37,1,-33.4541037,-70.7048823,0,64500000
3,50,1,-33.4757386,-70.6488292,0,64500000
1,22,1,-33.4438676,-70.6631652,1,64500000
1,34,1,-33.5217433,-70.5994137,0,64500000
1,32,1,-33.4529867,-70.6317639,0,64500000
1,34,1,-33.4610673,-70.6285147,0,64500000
1,37,1,-33.4536035,-70.7004681,0,64500000
2,54,1,-33.4065627,-70.6682664,0,63540000
1,29,1,-33.4561218,-70.6915183,1,63000000
1,31,1,-33.4561218,-70.6915183,1,63000000
1,32,1,-33.4572695,-70.6906844,1,63000000
1,38,1,-33.4480918,-70.6484007,0,63000000
2,39,1,-33.4540496,-70.696905,0,63000000
3,42,1,-33.5135434,-70.6667331,0,63000000
1,38,1,-33.4532628,-70.6993994,0,63000000
2,40,1,-33.450314,-70.6977809,0,63000000
1,34,1,-33.4516157,-70.6407562,0,63000000
1,28,1,-33.4582298,-70.6394828,0,63000000
3,50,1,-33.4893811,-70.6415462,0,63000000
1,27,1,-33.4906069,-70.6155783,0,63000000
1,33,1,-33.4554813,-70.7014675,0,62400000
1,30,1,-33.4476576,-70.6540461,0,62400000
1,32,1,-33.4572695,-70.6906844,1,61500000
2,39,1,-33.410408,-70.6548491,0,61500000
1,25,1,-33.4550292,-70.7004986,0,61500000
1,29,1,-33.4513265,-70.6407794,0,61500000
1,32,1,-33.4687965,-70.649134,0,60600000
1,30,1,-33.4311003,-70.6804643,0,60000000
1,27,1,-33.4533313,-70.6620628,0,60000000
1,30,1,-33.4585734,-70.6295797,1,60000000
1,25,1,-33.4521148,-70.6426528,0,60000000
1,28,1,-33.4038602,-70.6622255,0,60000000
1,32,1,-33.4374029,-70.6901527,0,60000000
1,32,1,-33.4540323,-70.6333923,0,60000000
2,43,1,-33.4126782,-70.6550924,0,59700000
1,29,1,-33.410408,-70.6548491,1,59700000
2,36,1,-33.400952,-70.6612948,1,59700000
1,29,1,-33.4374029,-70.6901527,0,59700000
1,30,1,-33.4358421,-70.6593318,0,59700000
1,30,1,-33.4261949,-70.6580949,0,59400000
1,30,1,-33.4261949,-70.6580949,0,59400000
1,30,1,-33.4261949,-70.6580949,0,59400000
1,34,1,-33.4538091,-70.7018991,0,59100000
1,29,1,-33.4174073,-70.6655945,0,59100000
1,26,1,-33.4492059,-70.6542559,0,59000000
1,24,1,-33.4253746,-70.6488684,0,58500000
1,28,1,-33.4180794,-70.6642932,0,58500000
1,25,1,-33.4388197,-70.6589578,0,58500000
1,28,1,-33.4180794,-70.6642932,0,58500000
1,30,1,-33.4180794,-70.6642932,0,58500000
1,25,1,-33.4448868,-70.6708868,0,57900000
1,26,1,-33.4517227,-70.6851343,0,57700000
1,30,1,-33.5014595,-70.6463032,0,57000000
1,29,1,-33.4532398,-70.6963791,0,57000000
1,33,1,-33.4532398,-70.6963791,1,57000000
1,32,1,-33.4551939,-70.7013761,0,57000000
1,34,1,-33.429593,-70.6562401,0,57000000
1,35,1,-33.4708256,-70.6480873,0,57000000
1,30,1,-33.4534961,-70.6955704,0,56700000
1,30,1,-33.450314,-70.6977809,0,56700000
1,29,1,-33.449341,-70.6550924,0,55500000
2,40,1,-33.4536062,-70.6979366,0,55500000
1,30,1,-33.4038602,-70.6622255,0,54000000
1,32,1,-33.4516854,-70.6898447,0,54000000
1,38,1,-33.4077988,-70.6625514,0,54000000
1,38,1,-33.4077988,-70.6625514,0,54000000
1,33,1,-33.4520689,-70.6909426,0,54000000
1,30,1,-33.450314,-70.6977809,0,54000000
1,30,1,-33.450314,-70.6977809,0,54000000
1,28,1,-33.4335253,-70.6553944,0,54000000
1,30,1,-33.4076971,-70.6630154,0,54000000
1,31,1,-33.457622,-70.6918022,0,53700000
1,28,1,-33.4320549,-70.6592734,0,52500000
1,30,1,-33.400952,-70.6612948,0,52500000
1,26,1,-33.4374029,-70.6901527,0,52500000
1,30,1,-33.4325878,-70.6782177,0,52000000
1,35,1,-33.4654041,-70.649818,0,51000000
1,30,1,-33.4171254,-70.6659967,0,51000000
1,22,1,-33.4629106,-70.6480244,0,51000000
1,33,1,-33.4572695,-70.6906844,0,51000000
1,34,1,-33.457622,-70.6918022,0,51000000
1,30,1,-33.4541037,-70.7048823,0,50700000
1,29,1,-33.4538251,-70.695916,0,50700000
1,33,1,-33.4520809,-70.6909269,0,50550000
1,30,1,-33.4572695,-70.6906844,0,50100000
1,30,1,-33.4572695,-70.6906844,0,50100000
2,48,1,-33.4384018,-70.7077399,0,50000000
